Filename,KS Line #,Japanese Line,Flagged Term,Meaning,Policy Risk,Suggested Substitution
arcana001.ks,46,まだあどけなさの残る少女達の体には、ヒトの臓物にも似た赤黒い触手が絡みつき、宙へと掲げ上げている。[nor],少女,young girl,high,girl / she
arcana001.ks,47,少女達はまるで、磔刑される聖人のようだ。[pcms],少女,young girl,high,girl / she
arcana001.ks,64,ドロリとした体液が、少女達の肌の上に糸を引いて伝い落ちる。[pcms],少女,young girl,high,girl / she
arcana001.ks,81,ヌメヌメと、鈍く妖艶に光る臓物――触手が、まるで焦らすように、少女達の秘部を緩やかにまさぐっている。[pcms],少女,young girl,high,girl / she
arcana001.ks,90,「せ……先生……もう、やめにして……ね？」[pcms],先生,teacher/sensei,high,Doctor
arcana001.ks,94,熱を帯びた、吐息混じりの少女の声は弱々しく震えている。[nor],少女,young girl,high,girl / she
arcana001.ks,104,目をしかめ、喘ぐ少女の小さな乳房を睨み付けると、乳首のすぐ近くで蠢く触手からグチュリと水気が溢れ出す。[pcms],少女,young girl,high,girl / she
arcana001.ks,131,相反する感覚から逃れようと、俺は少女達から目をそらすと、[nor],少女,young girl,high,girl / she
arcana001.ks,142,（俺は何をしているんだ？　大体この子達は、俺の教え子達じゃないのか？　どうしてこんな？）[pcms],教え子,pupil/student,high,girl / they
arcana001.ks,166,無数の触手の隙間から、街ゆく人々の無数の視線が少女達に向けられていく。[pcms],少女,young girl,high,girl / she
arcana001.ks,179,少女達は羞恥心から混乱し、取り乱していく。俺も……自分の行為を客観視して、混乱していく。[nor],少女,young girl,high,girl / she
arcana001.ks,180,こんな街の中で俺は、教え子達になんてことをしているんだ？[pcms],教え子,pupil/student,high,girl / they
arcana001.ks,209,"少女の言う[ruby_c t=""そ"" r=""・""][ruby_c t=""こ"" r=""・""]に、赤黒い触手が愛おしそうに体を擦り付けていると、[nor]",少女,young girl,high,girl / she
arcana001.ks,230,「ミアさん、先生はきっと『冥魔』に操られているだけ！　そうじゃなきゃ、おかしい……んぅうっ！」[pcms],先生,teacher/sensei,high,Doctor
arcana001.ks,248,"少女達の挑発するような声に駆られ、[ruby_c t=""オ"" r=""・""][ruby_c t=""レ"" r=""・""]はまた、赤黒く収縮を続ける触手に力を送り込んだ。[pcms]",少女,young girl,high,girl / she
arcana001.ks,283,少女達の真っ白な肌を赤黒い触手が絞り上げ、鈍い水の音に混ざり、まだ未熟な骨が軋む感覚が伝わってくる。[pcms],少女,young girl,high,girl / she
arcana001.ks,297,「はっ、はあっ、はあっ、はあっ……あ……ぎいっ……も、もうやめて……目を覚まして、先生……」[pcms],先生,teacher/sensei,high,Doctor
arcana001.ks,328,"俺は、[ruby_c t=""オ"" r=""・""][ruby_c t=""レ"" r=""・""]の体から飛び出した無数の触手が少女達の薄桃色の秘裂に勢い良く突き立てられるのを、呆然と見つめていた。[pcms]",少女,young girl,high,girl / she
arcana001.ks,360,"[ruby_c t=""オ"" r=""・""][ruby_c t=""レ"" r=""・""]の操る触手達が、少女達の小さな未開発の体の中に埋まっていく。[pcms]",少女,young girl,high,girl / she
arcana001.ks,360,"[ruby_c t=""オ"" r=""・""][ruby_c t=""レ"" r=""・""]の操る触手達が、少女達の小さな未開発の体の中に埋まっていく。[pcms]",未開発,undeveloped,extreme,tight / delicate
arcana001.ks,372,少女の腹の中に滑り込んだ――いや、割り入った触手から、少女達の狭く、まだ硬い内蔵を擦る感覚が伝わってくる。[pcms],少女,young girl,high,girl / she
arcana001.ks,376,それはまるで、未発達な膣にチンポをねじ込んだときの様で、触手から背筋を通り、脳幹を刺激する。[pcms],未発達,underdeveloped,extreme,tight / delicate
arcana001.ks,398,"[ruby_c t=""オ"" r=""・""][ruby_c t=""レ"" r=""・""]が嗤いながらそう言うと、また体の奥から触手が噴き出し、血の滲む少女の秘裂に向けて矢のように飛び込んで――[pcms]",少女,young girl,high,girl / she
arcana001.ks,461,そのボトルと同じほどの太さの触手が水風船のように形を変え、絡み合うようにして少女の胎内に流れ込む。[pcms],少女,young girl,high,girl / she
arcana001.ks,465,俺は何故か冷静に、少女達を嬲る触手を観察している。教え子がこんな酷い目に遭っているというのに。[pcms],少女,young girl,high,girl / she
arcana001.ks,465,俺は何故か冷静に、少女達を嬲る触手を観察している。教え子がこんな酷い目に遭っているというのに。[pcms],教え子,pupil/student,high,girl / they
arcana001.ks,481,少女達は白目を剥きかけ、息も絶え絶えに喘いでいる。[nor],少女,young girl,high,girl / she
arcana001.ks,486,だが、そんな事は許されない。だって彼女達は俺の教え子だ――[nor],教え子,pupil/student,high,girl / they
arcana001.ks,529,「はっ、はっ……あ、は、あぅんぅっ……こ、こんな……ことで、あたしは、負けないっ……だから、先生もがんばっ、て……」[pcms],先生,teacher/sensei,high,Doctor
arcana001.ks,533,……少女は目を涙で潤ませながら懇願する。[nor],少女,young girl,high,girl / she
arcana001.ks,534,先生、というのは俺の事だ。だが、俺は……何を頑張ればいい？[pcms],先生,teacher/sensei,high,Doctor
arcana001.ks,560,"「[ruby_c t=""オ"" r=""・""][ruby_c t=""レ"" r=""・""]は貴様らの先生などではない。一体何を言っているか」[pcms]",先生,teacher/sensei,high,Doctor
arcana001.ks,569,「いい加減に、黙りなさいよっ！　先生を操ってる、悪いやつ！　絶対……あたしが絶対、先生を助けるんだから！」[pcms],先生,teacher/sensei,high,Doctor
arcana001.ks,629,全身の穴という穴を塞がれ、犯されて、少女達は息も絶え絶えに喘いでいる。[pcms],少女,young girl,high,girl / she
arcana001.ks,668,触手から伝達された少女達の胎内の感覚――口の中に指を入れ舐め回されるような――が、俺の全身に広がっていく。[pcms],少女,young girl,high,girl / she
arcana001.ks,707,「こん、な……し、死ぬ……死んじゃいます……先生……お願い、もう……や、め、て……んひぃああっ！」[pcms],先生,teacher/sensei,high,Doctor
arcana001.ks,733,教え子を犯しているという罪悪感と、この少女達を支配したという征服感。それが、俺の興奮を加速させていく。[pcms],少女,young girl,high,girl / she
arcana001.ks,733,教え子を犯しているという罪悪感と、この少女達を支配したという征服感。それが、俺の興奮を加速させていく。[pcms],教え子,pupil/student,high,girl / they
arcana001.ks,768,三人の少女の絶頂が近づいていくのが分かる。[pcms],少女,young girl,high,girl / she
arcana001.ks,802,少女達はそれぞれが、まるで男が女を犯すときのように腰を激しく動かし始める。[nor],少女,young girl,high,girl / she
arcana001.ks,803,俺はそれを見つめながら、少女達と共に上り詰めていく。[pcms],少女,young girl,high,girl / she
arcana001.ks,816,それは勢いを増して、少女達を取り囲む全ての触手から、勢い良く噴き出していく。[pcms],少女,young girl,high,girl / she
arcana001.ks,877,少女達の腹は、臨月のそれのように大きく膨らんで、血管が浮き上がっている。[pcms],少女,young girl,high,girl / she
arcana001.ks,898,「怖い！　怖いよぉっ！　先生、もう抜いて！　お願い……死んじゃう！　怖いよおっ！」[pcms],先生,teacher/sensei,high,Doctor
arcana001.ks,909,「お願いっ！　何でもする……何でもするから、助けて……先生、もうやめて……助けてぇっ！」[pcms],先生,teacher/sensei,high,Doctor
arcana001.ks,913,少女は、残った力を振り絞るように大きく叫んだ。[nor],少女,young girl,high,girl / she
arcana001.ks,979,少女達は白濁にまみれた体を小さく震わせて、酸欠の金魚のように口をパクパクとさせて喘いでいる。[pcms],少女,young girl,high,girl / she
arcana001.ks,983,少女達の目からは、光が消えていく。[pcms],少女,young girl,high,girl / she
arcana001.ks,987,俺は……糸の切れた操り人形のようになった少女達を、何の感慨も無く見つめていた。[pcms],少女,young girl,high,girl / she
arcana002.ks,52,それはともかく、仮にも教え子たちをああいう妄想の対象にしてしまうのは教師という俺の職務上、大変よろしくない。[pcms],教え子,pupil/student,high,girl / they
arcana002.ks,57,「たぶん、男子生徒から没収したこれを流し読みした影響だな」[pcms],生徒,student,high,member / girl
arcana002.ks,87,常夜灯の光だけを頼りに俺は聖エトワール学園の校舎内を進んで、教職員用昇降口から外に出た。[pcms],学園,academy/school,medium,institution / sanctuary
arcana003.ks,104,「どうしたどうした魔法少女？　雑魚を何匹ぶっ倒そうが、このカクエン様には痛くもかゆくもねェんだぜ」[pcms],少女,young girl,high,girl / she
arcana003.ks,134,「冥魔どもよ、絶え間なく攻め立てるのじゃ。いかに魔法少女とはいえ、これだけの数を相手に、そう長くは保たぬ」[pcms],少女,young girl,high,girl / she
arcana003.ks,138,ミズチという化け物の指示で、うじゃうじゃと湧いて出た化け物たちが、一斉にその少女たちに迫っていく。[pcms],少女,young girl,high,girl / she
arcana003.ks,151,「俺たちだって冥魔の端くれ。魔法少女を殺してその力を奪えばミズチ様やカクエン様と同じ中級冥魔に昇格できるかも」[pcms],少女,young girl,high,girl / she
arcana003.ks,168,「応ッ！　俺たちのエサとなれ魔法少女ォォォ！」[pcms],少女,young girl,high,girl / she
arcana003.ks,189,[【茜】 name=魔法少女],少女,young girl,high,girl / she
arcana003.ks,202,[【葵】 name=魔法少女],少女,young girl,high,girl / she
arcana003.ks,214,[【ミア】 name=魔法少女],少女,young girl,high,girl / she
arcana003.ks,280,「いいや、これで良いのじゃカクエンよ。見てみよ、あの魔法少女たちの様子を……さっきまでの威勢の良さは、もうあるまい？」[pcms],少女,young girl,high,girl / she
arcana003.ks,295,「戦略の常道とは敵を上回る大軍をもって事に当たり、物量でねじ伏せるところにあるのじゃ。いかに魔法少女が強かろうともなぁ……くく」[pcms],少女,young girl,high,girl / she
arcana003.ks,303,[【茜】 name=魔法少女],少女,young girl,high,girl / she
arcana003.ks,312,[【葵】 name=魔法少女],少女,young girl,high,girl / she
arcana003.ks,321,[【ミア】 name=魔法少女],少女,young girl,high,girl / she
arcana003.ks,322,「どうもこうもないでしょ。正義の魔法少女が敵に背を向けて逃げるなんて、ありえないんだから！」[pcms],少女,young girl,high,girl / she
arcana003.ks,474,うじゃうじゃ湧いて出くる下級冥魔たちをけしかけ、魔法少女たちを包囲させているミズチとカクエンは世間話まで始めやがった。[pcms],少女,young girl,high,girl / she
arcana003.ks,492,（……これって俺の教え子たちの大ピンチってことだよな……まずい……まずいぞ。そ、そうだ警察……）[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,496,俺は買い替えたばかりのスマホを取り出して１１０番をコールしていた。最近のご時世だから学園に武装した凶悪犯がとでも通報すればすぐ来るはず。[pcms],学園,academy/school,medium,institution / sanctuary
arcana003.ks,549,「へんてこなコスプレして俺の教え子を襲っている凶悪犯ども！　たった今警察に連絡した！　覚悟しろよ！」[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,567,「先生……！　どうして……？」[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,575,「私たちのこと……教え子だって……認識阻害が効いてないの？」[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,592,「警察に連絡？　つまらぬ冗談だな人間。ワシら冥魔か魔法少女どもが張った結界の内部では、外部との交信など一切不可能じゃ」[pcms],少女,young girl,high,girl / she
arcana003.ks,624,「魔法少女どもと比べたならば、その濃度は一割かそれ以下ではあろうが、殺して生命力をすすり、魔法力として吸収するとしよう」[pcms],少女,young girl,high,girl / she
arcana003.ks,634,「人間の男よ。この結界に入り込んだということは、オマエは我等冥魔か、魔法少女どものどちらかの血を引く血族に違いあるまい」[pcms],少女,young girl,high,girl / she
arcana003.ks,649,「断る！　教え子を守るのが教師の仕事だ！　人間を舐めるなよ化け物！」[pcms],教え子,pupil/student,high,girl / they
arcana003.ks,652,流行りのネット小説なら、ここでチート能力を発揮してこいつらを瞬殺して、かわいい女の子から、さすがです先生、と全肯定されるところなんだけどな。[pcms],先生,teacher/sensei,high,Doctor
arcana003.ks,666,「くッ……お…お前たち！　先生がおとりになるから今のうちに逃げろ！」[pcms],先生,teacher/sensei,high,Doctor
