Index,KS Line #,character,Japanese Line,English Translation,tags,notes
1,434,akane_aoi_mia,「「「ぎゃあぁあぁああああああああああぁあぁぁッ！！」」」,GYAAAAAAHHHHHHHHHH!!,"['scream', 'pain', 'trauma', 'shared', 'overwhelm']","Simultaneous line from Akane, Aoi, and Mia. Recorded as a combined scream. Not suitable for TTS."
2,450,aoi,ひっ……ひ、ひ……あ……ひ……,Hh… h-h… ah… hhh…,"['fear', 'forced_moan', 'shock', 'tremble']",
3,456,mia,あ……ぎ……ど、どうし、て、こ、んな……あ、ぎ……,Ah… ngh… wh-why… why is this happening…? Ah… ngh…,"['fear', 'shock', 'forced_moan', 'disbelief', 'fragmented']",
4,471,aoi,も、もう、無理だよ、し、死んじゃ……う……,I-I can’t… anymore… I… I’m going to die…,"['exhaustion', 'despair', 'cry', 'hopeless', 'fear']",
5,477,mia,か、はっ……お、おぉ、お……,K-Kah… hah… oh… ooh… ohh…,"['shock', 'overwhelm', 'exhaustion', 'breathless', 'fragmented']",
6,487,aoi,せんせい、どうして……どうしてこんなことするの……？,Why are you doing this to us…?,"['betrayal', 'shock', 'plead', 'cry', 'confusion']","Original line uses『せんせい』(Sensei), suggesting student-teacher context. Paraphrased to avoid age-coded implication while retaining emotional betrayal."
7,493,mia,たすけ……だれか……たすけて……おねがい……,,,
8,498,akane,こわい……こわいよ……やだ……やだぁ……！,,,
9,506,aoi,もうやめて……もうやだよぉ……,,,
10,512,mia,こんなのって……こんなのって、ないよぉ……！,,,
11,519,akane,こ、こわいよぉ……はなしてぇ……もう、いやぁ……！,,,
12,528,aoi,いやぁ……おねがい……やめてぇ……,,,
13,534,mia,せんせい……どうして……っ！　あっ……んあっ！　んぁぁあぁっ！,,,
14,550,akane,あ……うぅっ……あ……はぁっ……ふ……っ,,,
15,569,akane,せんせい……だいすき……,,,
